scorer,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000,DLC_resnet50_bottom-tongue-trackingAug2shuffle1_1030000
bodyparts,Sprout,Sprout,Sprout,TongueTip,TongueTip,TongueTip
coords,x,y,likelihood,x,y,likelihood
0,346.7615051269531,110.69820404052734,2.6285648345947266e-05,347.35064697265625,117.18296813964844,1.0
1,349.2900695800781,121.8905258178711,5.552172660827637e-05,351.8104553222656,123.48898315429688,1.0
2,345.7758483886719,121.48387145996094,1.0,351.274658203125,130.22096252441406,0.9999998807907104
3,345.0179138183594,122.61849975585938,1.0,348.9252624511719,134.5483856201172,1.0
4,345.3529968261719,122.49797058105469,1.0,350.5319519042969,134.02146911621094,0.0006183981895446777
5,345.85235595703125,121.67323303222656,1.0,350.7366638183594,131.90045166015625,0.01457265019416809
6,344.9048156738281,122.53543853759766,1.0,139.08087158203125,419.2152099609375,0.000729292631149292
7,344.9427795410156,122.2968521118164,1.0,142.02493286132812,412.4251403808594,0.001314997673034668
8,345.25732421875,122.27198791503906,1.0,351.8882751464844,128.65716552734375,9.894371032714844e-06
9,345.41845703125,121.93062591552734,1.0,514.9302368164062,455.3578796386719,4.1812658309936523e-05
10,345.31280517578125,122.12591552734375,1.0,514.3660278320312,445.20147705078125,0.0010640323162078857
11,345.7035827636719,121.9879150390625,1.0,373.3954772949219,453.3564147949219,0.2781166434288025
12,345.57257080078125,121.88676452636719,1.0,374.1374206542969,454.8250732421875,0.6412444114685059
13,345.7429504394531,121.83275604248047,1.0,374.22894287109375,455.4949035644531,0.11154818534851074
14,345.6546325683594,122.12301635742188,1.0,380.5425109863281,458.3905029296875,0.0002528727054595947
15,345.7801513671875,122.18865203857422,1.0,351.82733154296875,128.28973388671875,7.12275505065918e-06
16,345.86602783203125,122.1756820678711,1.0,384.43255615234375,457.84503173828125,4.494190216064453e-05
17,346.0440368652344,122.29002380371094,1.0,352.4096374511719,128.67630004882812,4.231929779052734e-06
18,345.87969970703125,122.17960357666016,1.0,190.4305419921875,437.30841064453125,0.022563934326171875
19,345.74188232421875,122.0960693359375,1.0,190.63243103027344,438.0564880371094,0.05160912871360779
20,345.4357604980469,122.1699447631836,1.0,516.4961547851562,453.78839111328125,0.02264869213104248
21,345.3885192871094,122.22040557861328,1.0,517.6088256835938,454.7320861816406,0.00015366077423095703
22,345.6789245605469,122.12284851074219,1.0,356.23828125,166.19395446777344,1.0
23,345.9400939941406,122.08648681640625,1.0,357.1944885253906,155.66986083984375,1.0
24,346.23687744140625,122.99571228027344,1.0,365.81964111328125,137.97265625,0.9999993443489075
25,345.68499755859375,122.77408599853516,1.0,360.75115966796875,141.28326416015625,1.0
26,345.44158935546875,122.56839752197266,1.0,357.1142272949219,142.1119842529297,1.0
27,344.91778564453125,122.72209167480469,1.0,358.4745178222656,141.31146240234375,1.0
28,346.7916259765625,125.18121337890625,0.0047359466552734375,357.7761535644531,137.83013916015625,1.0
29,362.5115051269531,137.19378662109375,0.00011831521987915039,356.2947082519531,135.25474548339844,1.0
30,350.2007141113281,122.5738525390625,1.2576580047607422e-05,354.12554931640625,124.48622131347656,1.0
31,349.3827819824219,108.5210952758789,2.956390380859375e-05,353.735107421875,116.46211242675781,1.0
32,1.03043794631958,0.3021383285522461,5.364418029785156e-07,356.6563720703125,117.47024536132812,1.430511474609375e-06
33,346.7273864746094,117.5467529296875,0.026112079620361328,353.9127197265625,129.79165649414062,0.9999842643737793
34,345.6886291503906,122.72842407226562,1.0,355.5291442871094,140.62002563476562,0.9996787309646606
35,345.5760498046875,122.57118225097656,1.0,516.8678588867188,471.0775146484375,3.6090612411499023e-05
36,345.2483825683594,122.41958618164062,1.0,517.1443481445312,470.5797119140625,2.3812055587768555e-05
37,345.3190612792969,122.33361053466797,1.0,516.9845581054688,471.17108154296875,5.304813385009766e-06
38,345.0668640136719,122.23193359375,1.0,352.54217529296875,128.92193603515625,3.3974647521972656e-06
39,345.29559326171875,121.94818878173828,1.0,352.1492004394531,129.14785766601562,7.033348083496094e-06
40,345.3787841796875,121.97975158691406,1.0,352.1770935058594,128.7115936279297,7.539987564086914e-06
41,345.387451171875,121.7743148803711,1.0,522.68359375,455.754150390625,7.316470146179199e-05
42,345.421630859375,121.83180236816406,1.0,525.820068359375,456.0392761230469,5.036592483520508e-05
43,345.29180908203125,121.92725372314453,1.0,5.494777202606201,477.34326171875,7.450580596923828e-06
44,345.2110900878906,122.05854034423828,1.0,5.104574203491211,477.7544860839844,8.940696716308594e-06
45,345.1734313964844,122.15162658691406,1.0,5.158736228942871,477.6444396972656,7.957220077514648e-06
46,345.1775817871094,122.15693664550781,1.0,5.101977348327637,477.798095703125,1.0281801223754883e-05
47,345.6015625,121.8299331665039,1.0,5.19422721862793,477.64056396484375,1.0132789611816406e-05
48,345.52386474609375,121.55783081054688,1.0,5.160052299499512,477.7431335449219,1.0251998901367188e-05
49,345.49945068359375,121.8959732055664,1.0,5.360652923583984,477.4189147949219,1.055002212524414e-05
50,345.478271484375,122.10946655273438,1.0,352.395751953125,128.7221221923828,4.0531158447265625e-06
51,345.1626281738281,122.44633483886719,1.0,356.77044677734375,133.5630340576172,6.705522537231445e-06
52,345.2040710449219,122.39599609375,1.0,352.3065185546875,128.89515686035156,5.4836273193359375e-06
53,345.4822082519531,122.8015365600586,1.0,358.7002258300781,142.97096252441406,1.0
54,348.6905212402344,124.18614196777344,0.0010408461093902588,352.61138916015625,130.86643981933594,1.0
55,346.1718444824219,109.27167510986328,4.500150680541992e-06,346.7215881347656,114.62547302246094,0.9999991059303284
56,1.0420985221862793,0.2707827091217041,5.364418029785156e-07,348.90924072265625,101.4329605102539,0.9999672174453735
57,347.5663757324219,93.17335510253906,2.592802047729492e-06,349.7801513671875,100.64564514160156,1.0
58,362.6263427734375,105.49056243896484,7.808208465576172e-06,353.5276794433594,104.37303924560547,1.0
59,362.88275146484375,105.83468627929688,2.1249055862426758e-05,353.8499450683594,104.08282470703125,1.0
60,347.7804260253906,93.20065307617188,6.973743438720703e-06,349.7192077636719,102.22390747070312,1.0
61,347.61279296875,92.26373291015625,5.790591239929199e-05,348.0926818847656,100.560546875,1.0
62,348.3404235839844,103.72260284423828,5.990266799926758e-06,344.71002197265625,103.46271514892578,1.0
63,347.78076171875,107.42912292480469,5.143880844116211e-05,344.4166259765625,110.70272827148438,1.0
64,345.169189453125,110.50557708740234,2.4020671844482422e-05,346.20928955078125,117.41828155517578,1.0
65,344.22296142578125,115.5164794921875,1.0,352.1029052734375,125.29314422607422,1.0
66,345.47576904296875,121.98052215576172,1.0,352.6045227050781,135.11688232421875,1.0
67,345.1312561035156,122.50618743896484,1.0,353.67388916015625,139.0953826904297,1.0
68,345.8515625,122.7328109741211,1.0,351.3890075683594,138.65072631835938,0.3473283052444458
69,345.2386474609375,122.3980941772461,1.0,356.0911560058594,133.53919982910156,0.00018700957298278809
70,345.5733337402344,122.31898498535156,1.0,363.1263732910156,133.64364624023438,0.0016217529773712158
71,344.8584289550781,122.35256958007812,1.0,351.52606201171875,128.96058654785156,7.12275505065918e-06
72,344.85687255859375,122.3720703125,1.0,351.7751159667969,128.87216186523438,6.318092346191406e-06
73,345.025390625,122.51217651367188,1.0,352.00457763671875,128.86224365234375,4.947185516357422e-06
74,345.11077880859375,122.2701187133789,1.0,351.91534423828125,128.5627899169922,4.798173904418945e-06
75,344.9856872558594,122.37784576416016,1.0,351.8226623535156,128.52651977539062,4.4405460357666016e-06
76,345.0598449707031,122.48173522949219,1.0,351.9335021972656,128.82601928710938,3.993511199951172e-06
77,344.93035888671875,122.43101501464844,1.0,352.0487976074219,128.7869110107422,4.6193599700927734e-06
78,345.2408752441406,122.71485900878906,1.0,352.1384582519531,129.01800537109375,5.0961971282958984e-06
79,345.3046569824219,122.7613525390625,1.0,352.0687561035156,129.07785034179688,6.318092346191406e-06
