scorer,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000,DLC_resnet50_side-tongue-trackingJul31shuffle1_1030000
bodyparts,Spout,Spout,Spout,TongueTip,TongueTip,TongueTip
coords,x,y,likelihood,x,y,likelihood
0,244.42808532714844,219.839111328125,0.0003879964351654053,448.2335205078125,133.1485595703125,1.0
1,435.04241943359375,126.04371643066406,0.00036910176277160645,439.5748291015625,119.72835540771484,1.0
2,245.4475555419922,220.03489685058594,0.00032597780227661133,433.4354553222656,103.90464782714844,1.0
3,435.232666015625,98.95751953125,1.0,421.8357238769531,86.33000946044922,0.9999983310699463
4,435.5673828125,99.15386962890625,1.0,113.41923522949219,265.0681457519531,0.9995858073234558
5,435.3010559082031,99.75419616699219,1.0,112.76212310791016,269.8316345214844,0.9999626874923706
6,435.05609130859375,99.49688720703125,1.0,113.8409652709961,271.59552001953125,0.9999509453773499
7,435.3062744140625,98.87596130371094,1.0,115.3117446899414,271.1220397949219,0.9999854564666748
8,435.2980651855469,98.925048828125,1.0,119.00404357910156,268.26409912109375,0.9998966455459595
9,435.50537109375,98.80314636230469,1.0,236.45143127441406,209.3643798828125,0.9999667406082153
10,435.9606628417969,99.1275405883789,1.0,233.61318969726562,208.59664916992188,0.9999021291732788
11,436.04473876953125,99.25923156738281,1.0,116.4760971069336,258.55426025390625,0.999984622001648
12,435.9208068847656,99.05865478515625,1.0,114.95172119140625,258.712890625,0.9999821186065674
13,435.8532409667969,99.0129623413086,1.0,114.34561157226562,259.1188659667969,0.9999771118164062
14,435.7636413574219,99.07723236083984,1.0,113.43128967285156,262.4288330078125,0.9999333620071411
15,435.8381042480469,99.10370635986328,1.0,210.8114013671875,226.8033447265625,0.9997715353965759
16,436.0025939941406,99.13638305664062,1.0,113.13079833984375,266.81304931640625,0.9982055425643921
17,436.10455322265625,99.25636291503906,1.0,112.16974639892578,273.47796630859375,0.9986454248428345
18,435.9436340332031,99.31427764892578,1.0,204.05642700195312,240.80941772460938,0.9986499547958374
19,435.9632873535156,99.37542724609375,1.0,204.68458557128906,245.16928100585938,0.9906790256500244
20,436.0096740722656,99.44818878173828,1.0,108.80694580078125,281.5455322265625,0.9577163457870483
21,435.9539489746094,99.34119415283203,1.0,365.6846008300781,131.38267517089844,0.9999550580978394
22,435.6675720214844,99.24880981445312,1.0,389.3293151855469,153.72918701171875,0.9999980330467224
23,435.5080871582031,98.83696746826172,1.0,406.2603454589844,180.15069580078125,1.0
24,434.96307373046875,99.19496154785156,1.0,421.7294006347656,202.1099090576172,1.0
25,435.3371887207031,99.41471099853516,1.0,416.9976501464844,229.40365600585938,1.0
26,435.02703857421875,99.69010162353516,1.0,416.0377502441406,240.75677490234375,1.0
27,434.92041015625,100.03569793701172,1.0,419.39898681640625,245.2181396484375,1.0
28,434.67486572265625,100.1584243774414,1.0,423.18890380859375,245.1337127685547,1.0
29,434.6776428222656,100.19731140136719,1.0,426.37567138671875,245.13670349121094,1.0
30,434.7334289550781,100.4395523071289,1.0,441.8949890136719,228.13987731933594,1.0
31,434.96356201171875,99.36331939697266,1.0,453.0815124511719,198.91058349609375,1.0
32,440.1171875,172.8295440673828,0.00011858344078063965,446.4390869140625,165.02041625976562,1.0
33,433.2924499511719,155.28636169433594,0.00015792250633239746,431.4609375,145.9647979736328,0.9999998807907104
