scorer,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000,DLC_resnet50_swallowing-trackingSep8shuffle1_1030000
bodyparts,complex,complex,complex,lowerJaw,lowerJaw,lowerJaw
coords,x,y,likelihood,x,y,likelihood
0,110.87989044189453,250.1800537109375,1.0,242.64390563964844,228.67825317382812,1.0
1,110.85812377929688,253.28662109375,1.0,243.08547973632812,226.99923706054688,1.0
2,109.57063293457031,257.0013427734375,1.0,242.41229248046875,226.6067352294922,1.0
3,110.33609008789062,259.6944885253906,1.0,243.68826293945312,226.81117248535156,1.0
4,111.206298828125,263.9393005371094,1.0,243.82833862304688,226.89804077148438,1.0
5,111.7513427734375,267.23590087890625,1.0,242.93309020996094,226.1686248779297,1.0
6,112.61134338378906,269.4687805175781,1.0,239.51255798339844,223.65798950195312,1.0
7,114.4788589477539,269.57513427734375,1.0,237.00335693359375,218.4856414794922,1.0
8,117.72516632080078,267.2757263183594,1.0,236.42877197265625,213.5458984375,1.0
9,119.53545379638672,263.3465576171875,1.0,233.24037170410156,210.75128173828125,1.0
10,118.92726135253906,259.5167236328125,1.0,229.29876708984375,210.35031127929688,1.0
11,115.98419952392578,258.1072082519531,1.0,222.4631805419922,216.160888671875,1.0
12,114.14268493652344,257.870849609375,1.0,217.85321044921875,220.04737854003906,1.0
13,113.77066802978516,258.100341796875,1.0,213.12322998046875,221.34182739257812,1.0
14,113.08522033691406,261.4979553222656,1.0,208.49131774902344,225.47027587890625,1.0
15,113.05834197998047,263.8542175292969,1.0,205.06524658203125,227.49359130859375,1.0
16,112.29292297363281,266.40673828125,1.0,201.80221557617188,231.51470947265625,1.0
17,110.66849517822266,271.39892578125,1.0,199.03158569335938,238.299072265625,1.0
18,108.8879623413086,277.28778076171875,1.0,196.50894165039062,243.18746948242188,1.0
19,109.14572143554688,278.67608642578125,1.0,198.7702178955078,247.38308715820312,1.0
20,107.64025115966797,282.62811279296875,1.0,202.50634765625,249.4595184326172,1.0
21,106.6657943725586,283.7503356933594,1.0,203.32110595703125,252.09930419921875,1.0
22,105.80616760253906,287.50384521484375,1.0,202.07421875,255.43577575683594,1.0
23,104.61648559570312,288.67694091796875,1.0,201.95361328125,259.2044372558594,1.0
24,103.86908721923828,289.889404296875,1.0,202.4387969970703,260.4998779296875,1.0
25,102.8324203491211,291.83416748046875,1.0,201.0291290283203,264.1402587890625,1.0
26,101.95947265625,291.2700500488281,1.0,200.3707733154297,265.5545349121094,1.0
27,101.95885467529297,290.2049560546875,1.0,201.25680541992188,266.5671081542969,1.0
28,101.51586151123047,287.01019287109375,1.0,204.74029541015625,265.7033386230469,1.0
29,101.21150970458984,285.2351379394531,1.0,208.2561798095703,266.6380310058594,1.0
30,101.2695541381836,282.233642578125,1.0,211.1035614013672,265.99884033203125,1.0
31,102.28382873535156,277.6001892089844,1.0,214.2100830078125,263.7095947265625,1.0
32,102.44357299804688,275.71142578125,1.0,214.90994262695312,263.3441162109375,1.0
33,102.7155532836914,274.5169372558594,1.0,216.8669891357422,261.4078369140625,1.0
34,104.12494659423828,275.0968322753906,1.0,217.47984313964844,259.376220703125,1.0
35,103.99419403076172,280.281982421875,1.0,217.5296630859375,262.0017395019531,1.0
36,104.57810974121094,282.3626708984375,1.0,217.69677734375,263.2850036621094,1.0
37,108.11421203613281,282.20709228515625,1.0,222.675537109375,261.3606262207031,1.0
38,112.21975708007812,280.4411926269531,1.0,229.41796875,257.4322509765625,1.0
39,116.24540710449219,278.343017578125,1.0,235.04669189453125,253.5148468017578,1.0
40,118.67031860351562,276.10882568359375,1.0,239.2156524658203,248.0488739013672,1.0
41,120.5923843383789,273.09649658203125,1.0,243.85411071777344,240.9089813232422,1.0
42,122.48080444335938,268.42291259765625,1.0,247.0350799560547,233.81065368652344,1.0
43,122.4618148803711,264.56640625,1.0,247.91046142578125,228.03660583496094,1.0
44,121.23672485351562,260.6559143066406,1.0,246.88748168945312,223.92721557617188,1.0
45,120.23289489746094,258.581787109375,1.0,248.68759155273438,221.3976287841797,1.0
46,118.51553344726562,257.7743835449219,1.0,248.5374755859375,221.0442352294922,1.0
47,116.19564819335938,257.89031982421875,1.0,248.1667022705078,222.37669372558594,1.0
48,114.46237182617188,259.1943359375,1.0,247.6348419189453,223.29837036132812,1.0
49,113.80294799804688,261.2126770019531,1.0,247.17628479003906,225.7364044189453,1.0
50,112.20995330810547,262.5721740722656,1.0,246.5006561279297,229.03382873535156,1.0
51,110.69859313964844,264.08819580078125,1.0,245.8466796875,232.54754638671875,1.0
52,108.98896026611328,264.78955078125,1.0,243.39495849609375,236.4127197265625,1.0
53,108.20843505859375,265.6647033691406,1.0,240.7100372314453,239.39865112304688,1.0
54,107.15269470214844,266.3791809082031,1.0,238.68544006347656,243.8653106689453,1.0
55,104.97178649902344,267.9106140136719,1.0,236.3686065673828,247.02984619140625,1.0
56,103.51681518554688,268.6387023925781,1.0,234.3007049560547,250.12196350097656,1.0
57,102.25234985351562,268.56256103515625,1.0,230.5749969482422,252.56405639648438,1.0
58,103.12580871582031,266.3876953125,1.0,229.7147674560547,252.53790283203125,1.0
59,105.42231750488281,263.0879821777344,1.0,231.87159729003906,249.074462890625,1.0
60,107.9073715209961,258.6844482421875,1.0,233.220458984375,245.78138732910156,1.0
61,109.4498062133789,255.45083618164062,1.0,234.45729064941406,243.3389129638672,1.0
62,110.95808410644531,253.84812927246094,1.0,234.30699157714844,241.84323120117188,1.0
63,110.54937744140625,253.79010009765625,1.0,233.93930053710938,239.34764099121094,1.0
64,111.06059265136719,256.541259765625,1.0,234.7063446044922,236.88525390625,1.0
65,112.14540100097656,258.06292724609375,1.0,235.87745666503906,233.47171020507812,1.0
66,112.48719024658203,260.6238708496094,1.0,237.40939331054688,232.45518493652344,1.0
67,112.6419906616211,263.6913146972656,1.0,238.71295166015625,232.5600128173828,1.0
68,111.98724365234375,267.62451171875,1.0,238.9566192626953,233.31109619140625,1.0
69,112.51065826416016,270.6699523925781,1.0,238.68653869628906,232.25225830078125,1.0
70,113.8163833618164,271.9601745605469,1.0,238.7263641357422,230.6336212158203,1.0
71,115.29778289794922,272.40081787109375,1.0,239.07095336914062,225.81219482421875,1.0
72,117.92733764648438,271.0041198730469,1.0,239.9219512939453,219.35769653320312,1.0
73,120.60529327392578,267.36114501953125,1.0,242.10838317871094,212.5153045654297,1.0
74,121.19403839111328,265.2047424316406,1.0,242.4949493408203,206.95697021484375,1.0
75,121.51795196533203,260.8031311035156,1.0,243.21377563476562,204.26022338867188,1.0
76,120.36646270751953,258.8415832519531,1.0,243.04034423828125,204.07763671875,1.0
77,119.8481216430664,257.5584716796875,1.0,243.42552185058594,204.47401428222656,1.0
78,119.51860046386719,256.3835144042969,1.0,243.74609375,204.44876098632812,1.0
79,119.5096664428711,256.3882751464844,1.0,243.9514617919922,204.4178466796875,1.0
80,119.25067138671875,257.3363037109375,1.0,243.8043975830078,204.23809814453125,1.0
81,119.34477233886719,256.5823059082031,1.0,243.6201629638672,203.74412536621094,1.0
82,119.33218383789062,256.4555969238281,1.0,243.8663787841797,203.47999572753906,1.0
83,119.07719421386719,256.3227233886719,1.0,243.58712768554688,203.8279266357422,1.0
84,119.1376724243164,256.5823974609375,1.0,243.86070251464844,203.55235290527344,1.0
85,119.3718032836914,257.0121765136719,1.0,243.80233764648438,203.74411010742188,1.0
86,119.41964721679688,256.8759765625,1.0,243.5684356689453,203.96640014648438,1.0
87,119.64918518066406,257.01361083984375,1.0,243.64146423339844,203.8686981201172,1.0
88,119.15229797363281,257.08050537109375,1.0,243.3715057373047,204.13894653320312,1.0
89,118.93638610839844,256.7171325683594,1.0,243.25595092773438,204.2076873779297,1.0
90,118.95536804199219,256.5520324707031,1.0,242.9541015625,203.6073455810547,1.0
91,118.9683609008789,256.86724853515625,1.0,242.94654846191406,203.28599548339844,1.0
92,118.93589782714844,257.37713623046875,1.0,242.44749450683594,203.052734375,1.0
93,118.64859771728516,256.4608459472656,1.0,242.5057373046875,203.04891967773438,1.0
94,118.03266143798828,256.6536865234375,1.0,242.17185974121094,203.46485900878906,1.0
95,118.04467010498047,256.67010498046875,1.0,242.2422637939453,203.8289031982422,1.0
96,117.62120056152344,257.3915100097656,1.0,242.19308471679688,204.21485900878906,1.0
97,117.20921325683594,255.9080810546875,1.0,242.28738403320312,204.42701721191406,1.0
98,116.7533950805664,255.92079162597656,1.0,242.41500854492188,204.99822998046875,1.0
99,116.2727279663086,256.2007751464844,1.0,242.97555541992188,205.95315551757812,1.0
100,116.18284606933594,256.83502197265625,1.0,244.2566375732422,207.76583862304688,1.0
101,115.06157684326172,256.2904357910156,1.0,244.2970428466797,210.9160919189453,1.0
102,114.8281021118164,257.1640930175781,1.0,244.91470336914062,214.4300537109375,1.0
103,113.72785186767578,259.67376708984375,1.0,243.11965942382812,219.81529235839844,1.0
104,112.59527587890625,261.297119140625,1.0,240.1520538330078,225.22506713867188,1.0
105,111.67848205566406,264.2386169433594,1.0,238.66421508789062,230.22451782226562,1.0
106,111.09774780273438,267.00030517578125,1.0,236.89007568359375,233.26670837402344,1.0
107,110.6507339477539,267.0700378417969,1.0,237.84605407714844,235.5708770751953,1.0
108,109.29144287109375,266.4434814453125,1.0,237.39781188964844,237.39955139160156,1.0
109,109.39511108398438,264.1309814453125,1.0,237.43821716308594,237.58135986328125,1.0
110,109.9178695678711,260.71063232421875,1.0,236.239501953125,237.07228088378906,1.0
111,109.5338363647461,259.3321838378906,1.0,234.07794189453125,237.71864318847656,1.0
112,109.76324462890625,260.7264099121094,1.0,234.34512329101562,236.41421508789062,1.0
113,110.172607421875,264.6748046875,1.0,234.34417724609375,235.3586883544922,1.0
114,111.3743896484375,268.122314453125,1.0,236.9691925048828,234.7293701171875,1.0
115,111.94287872314453,271.3084716796875,1.0,237.4321746826172,235.16177368164062,1.0
116,112.67767333984375,274.5455017089844,1.0,238.4160614013672,234.29640197753906,1.0
117,114.0610122680664,274.8125915527344,1.0,238.2191162109375,231.64389038085938,1.0
118,115.89714813232422,274.2918395996094,1.0,238.48104858398438,225.3979034423828,1.0
119,118.6246109008789,271.5714416503906,1.0,237.90126037597656,218.0668182373047,1.0
120,119.44965362548828,268.9737548828125,1.0,235.68898010253906,212.8184356689453,1.0
121,120.11138153076172,265.5917663574219,1.0,231.33139038085938,210.3870086669922,1.0
122,119.76380157470703,261.3553466796875,1.0,227.19529724121094,211.6524658203125,1.0
123,118.97290802001953,260.52374267578125,1.0,219.66079711914062,215.91966247558594,1.0
124,117.61944580078125,260.84429931640625,1.0,214.7742156982422,218.8674774169922,1.0
125,116.9620590209961,261.21978759765625,1.0,210.5683135986328,221.6278533935547,1.0
126,116.60195922851562,262.55670166015625,1.0,207.68624877929688,224.88299560546875,1.0
127,115.65520477294922,264.7142639160156,1.0,202.41526794433594,229.1898956298828,1.0
128,114.36353302001953,267.6923828125,1.0,198.253662109375,234.626708984375,1.0
129,114.72265625,270.0703430175781,1.0,196.9788055419922,237.88026428222656,1.0
130,115.26312255859375,272.17706298828125,1.0,194.5935516357422,239.591064453125,1.0
131,114.52510070800781,275.4657287597656,1.0,193.03970336914062,242.01551818847656,1.0
132,112.35570526123047,278.720947265625,1.0,189.5411834716797,247.31716918945312,1.0
133,109.83219146728516,281.52703857421875,1.0,185.79489135742188,251.82008361816406,1.0
134,108.88299560546875,285.6081848144531,1.0,187.7591552734375,254.30113220214844,1.0
135,110.694091796875,290.24249267578125,1.0,192.92031860351562,258.3665466308594,1.0
136,109.98345947265625,293.7020263671875,1.0,195.214599609375,262.124755859375,1.0
137,109.05157470703125,296.1088562011719,1.0,198.41485595703125,264.02252197265625,1.0
138,107.72477722167969,297.1012878417969,1.0,198.26181030273438,268.357177734375,1.0
139,105.6280517578125,297.3900451660156,1.0,197.9784393310547,271.0408630371094,1.0
140,103.60806274414062,298.1243896484375,1.0,196.48516845703125,274.033935546875,1.0
141,102.46641540527344,296.25799560546875,1.0,196.9486083984375,275.5289611816406,1.0
142,103.04615020751953,292.61517333984375,1.0,200.2778778076172,272.2090759277344,1.0
143,101.60041046142578,288.4624328613281,1.0,204.78488159179688,270.6242980957031,1.0
144,101.73883819580078,285.6899719238281,1.0,206.4068603515625,269.9512634277344,1.0
145,102.65369415283203,278.8537292480469,1.0,208.86444091796875,268.3070373535156,1.0
146,102.49750518798828,276.9132995605469,1.0,208.79087829589844,268.5915222167969,1.0
147,103.31922912597656,277.01116943359375,1.0,209.19229125976562,267.80633544921875,1.0
148,104.27932739257812,278.0461120605469,1.0,213.0893096923828,266.4820251464844,1.0
149,105.8206787109375,278.6205749511719,1.0,216.43312072753906,264.7538757324219,1.0
150,109.80241394042969,279.9200134277344,1.0,221.9615020751953,261.8920593261719,1.0
151,112.7406997680664,279.7876892089844,1.0,228.00390625,256.283935546875,1.0
152,56.7440071105957,255.171630859375,1.0,237.2358856201172,250.566650390625,1.0
153,119.90055084228516,275.1009521484375,1.0,244.0566864013672,243.276611328125,1.0
154,120.26966094970703,270.58673095703125,1.0,247.83834838867188,237.053466796875,1.0
155,120.45604705810547,267.58233642578125,1.0,248.76840209960938,231.40260314941406,1.0
156,120.24443054199219,264.6861267089844,1.0,247.79119873046875,228.66310119628906,1.0
157,117.5333251953125,265.7958679199219,1.0,243.28704833984375,229.4628448486328,1.0
158,114.2904281616211,268.3709716796875,1.0,240.41085815429688,232.20443725585938,1.0
159,112.4905776977539,271.4498291015625,1.0,238.92745971679688,235.7024688720703,1.0
160,111.41030883789062,274.9131164550781,1.0,239.84814453125,238.19662475585938,1.0
161,108.56429290771484,276.9898376464844,1.0,236.3253936767578,244.08787536621094,1.0
162,105.21085357666016,281.612060546875,1.0,229.67710876464844,251.83706665039062,1.0
163,102.31575012207031,284.872802734375,1.0,223.1258544921875,257.3953857421875,1.0
164,99.77115631103516,287.2307434082031,1.0,217.04234313964844,261.0488586425781,1.0
165,98.21257781982422,287.23748779296875,1.0,215.65408325195312,264.34222412109375,1.0
166,98.32195281982422,285.42547607421875,1.0,215.8047332763672,265.2187194824219,1.0
167,97.73214721679688,287.2560729980469,1.0,214.5572967529297,268.28131103515625,1.0
168,95.50627899169922,289.8141784667969,1.0,211.8402862548828,271.1229553222656,1.0
169,97.38235473632812,289.67828369140625,1.0,214.93246459960938,266.9693298339844,1.0
170,104.6335220336914,286.5396423339844,1.0,219.8289794921875,251.49563598632812,1.0
171,111.54830932617188,279.61810302734375,1.0,225.90975952148438,233.5120391845703,1.0
172,116.48322296142578,271.97320556640625,1.0,229.684326171875,221.21376037597656,1.0
173,118.0088119506836,263.8822937011719,1.0,231.9481201171875,214.23826599121094,1.0
174,115.64247131347656,260.4454040527344,1.0,233.6664276123047,214.76617431640625,1.0
175,113.56088256835938,260.25823974609375,1.0,238.01190185546875,217.681884765625,1.0
176,110.84210968017578,261.5597229003906,1.0,237.48095703125,222.1930694580078,1.0
177,108.9437026977539,263.7534484863281,1.0,237.1606903076172,228.7090301513672,1.0
178,105.38076782226562,266.8808898925781,1.0,233.52194213867188,235.731689453125,1.0
179,103.1902084350586,269.2762451171875,1.0,230.2968292236328,241.3306884765625,1.0
180,101.59819030761719,269.5634460449219,1.0,228.5408172607422,244.89881896972656,1.0
181,102.3443832397461,266.5930480957031,1.0,228.9329376220703,244.84849548339844,1.0
182,104.36965942382812,263.0918884277344,1.0,230.25453186035156,242.2353057861328,1.0
183,105.93108367919922,260.88262939453125,1.0,231.3460235595703,239.7203826904297,1.0
184,105.83930969238281,262.05596923828125,1.0,231.58192443847656,238.2649383544922,1.0
185,104.96654510498047,267.2778015136719,1.0,230.04507446289062,235.18992614746094,1.0
186,106.6056900024414,271.189697265625,1.0,231.06715393066406,229.74716186523438,1.0
187,109.34626007080078,273.54229736328125,1.0,231.1430206298828,221.0589141845703,1.0
188,113.3297119140625,270.02020263671875,1.0,233.7738800048828,211.9455108642578,1.0
189,115.23250579833984,264.94171142578125,1.0,235.3959197998047,205.26919555664062,1.0
190,114.33348083496094,258.2381286621094,1.0,235.49502563476562,205.07537841796875,1.0
191,111.54528045654297,255.8837890625,1.0,235.51708984375,210.0557098388672,1.0
192,108.76952362060547,257.9205017089844,1.0,235.91140747070312,218.95419311523438,1.0
193,106.4018325805664,260.9202575683594,1.0,233.8546142578125,227.34024047851562,1.0
194,103.20415496826172,264.1963806152344,1.0,229.35693359375,234.59823608398438,1.0
195,101.48807525634766,265.8385925292969,1.0,225.52810668945312,240.8970184326172,1.0
196,98.89112854003906,266.6909484863281,1.0,221.27259826660156,245.419189453125,1.0
197,97.59001159667969,265.41168212890625,1.0,219.3575439453125,247.01600646972656,1.0
198,99.2035903930664,262.70648193359375,1.0,220.89927673339844,245.95391845703125,1.0
199,101.58964538574219,258.65966796875,1.0,223.99139404296875,242.25234985351562,1.0
200,103.85111999511719,256.5640563964844,1.0,226.59889221191406,238.73800659179688,1.0
201,104.10090637207031,258.8944091796875,1.0,227.15365600585938,235.7769775390625,1.0
202,103.16622924804688,263.8319091796875,1.0,227.3766326904297,234.85690307617188,1.0
203,106.00898742675781,268.5887451171875,1.0,229.6878662109375,231.6306915283203,1.0
204,108.88036346435547,271.4681091308594,1.0,231.7818603515625,226.79217529296875,1.0
205,110.76020050048828,272.78607177734375,1.0,232.32489013671875,218.61395263671875,1.0
206,114.3177261352539,267.92828369140625,1.0,232.07615661621094,209.6669158935547,1.0
207,115.16214752197266,261.9839782714844,1.0,233.72959899902344,202.3642120361328,1.0
208,114.4205093383789,256.168212890625,1.0,234.09774780273438,201.95477294921875,1.0
209,111.98136138916016,255.01568603515625,1.0,234.97596740722656,208.133056640625,1.0
210,109.74628448486328,256.2481689453125,1.0,235.75164794921875,216.44601440429688,1.0
211,107.53624725341797,257.8619384765625,1.0,233.86058044433594,221.79635620117188,1.0
212,104.57113647460938,261.63885498046875,1.0,229.5584259033203,230.2364959716797,1.0
213,101.74932861328125,264.3433837890625,1.0,225.44493103027344,236.67872619628906,1.0
214,99.24011993408203,264.2686462402344,1.0,221.06214904785156,241.8085174560547,1.0
215,98.66658020019531,262.703125,1.0,218.05322265625,244.48902893066406,1.0
216,99.87372589111328,260.381591796875,1.0,219.44476318359375,242.96441650390625,1.0
217,101.71954345703125,257.31170654296875,1.0,223.43316650390625,240.2803497314453,1.0
218,103.84217071533203,256.49786376953125,1.0,225.6591796875,237.09381103515625,1.0
219,104.04004669189453,256.9635314941406,1.0,227.48190307617188,235.26287841796875,1.0
220,103.76807403564453,259.1708679199219,1.0,228.34991455078125,233.3301544189453,1.0
221,104.34246826171875,264.3275146484375,1.0,228.735107421875,232.17811584472656,1.0
222,106.70597839355469,268.35235595703125,1.0,230.47232055664062,228.4050750732422,1.0
223,108.06883239746094,271.9146423339844,1.0,231.2815704345703,224.22970581054688,1.0
224,110.4911117553711,271.7541809082031,1.0,230.15223693847656,215.93905639648438,1.0
225,113.4980239868164,265.3951416015625,1.0,232.0244140625,207.57713317871094,1.0
